Date,npr
7/1/2022,126.06
7/2/2022,126.18
7/3/2022,126.18
7/4/2022,126.18
7/5/2022,126.03
7/6/2022,126.7
7/7/2022,126.59
7/8/2022,126.39
7/9/2022,126.51
7/10/2022,126.51
7/11/2022,126.51
7/12/2022,126.81
7/13/2022,127.06
7/14/2022,127.12
7/15/2022,127.51
7/16/2022,127.51
7/17/2022,127.51
7/18/2022,127.51
7/19/2022,127.66
7/20/2022,127.61
7/21/2022,127.69
7/22/2022,127.62
7/23/2022,127.48
7/24/2022,127.48
7/25/2022,127.48
7/26/2022,127.28
7/27/2022,127.36
7/28/2022,127.54
7/29/2022,127.32
7/30/2022,126.51
7/31/2022,126.51
8/1/2022,126.51
8/2/2022,126.14
8/3/2022,125.65
8/4/2022,126.36
8/5/2022,126.85
8/6/2022,126.48
8/7/2022,126.48
8/8/2022,126.48
8/9/2022,127.16
8/10/2022,127.16
8/11/2022,126.94
8/12/2022,127.12
8/13/2022,127.16
8/14/2022,127.16
8/15/2022,127.16
8/16/2022,127.16
8/17/2022,127.16
8/18/2022,126.82
8/19/2022,127.18
8/20/2022,127.35
8/21/2022,127.35
8/22/2022,127.35
8/23/2022,127.5
8/24/2022,127.49
8/25/2022,127.4
8/26/2022,127.52
8/27/2022,127.49
8/28/2022,127.49
8/29/2022,127.49
8/30/2022,127.65
8/31/2022,126.83
9/1/2022,126.83
9/2/2022,127
9/3/2022,127.38
9/4/2022,127.38
9/5/2022,127.38
9/6/2022,127.46
9/7/2022,127.44
9/8/2022,127.55
9/9/2022,127.24
9/10/2022,127.04
9/11/2022,127.04
9/12/2022,127.04
9/13/2022,126.94
9/14/2022,126.34
9/15/2022,126.81
9/16/2022,127.22
9/17/2022,127.29
9/18/2022,127.29
9/19/2022,127.29
9/20/2022,127.34
9/21/2022,127.31
9/22/2022,127.67
9/23/2022,129.08
9/24/2022,129.29
9/25/2022,129.29
9/26/2022,129.29
9/27/2022,130.3
9/28/2022,130.24
9/29/2022,130.81
9/30/2022,130.68
